Generation,evals,avg,std,min,max,best_one,fitness_best_one
37,348,[  7.        434.9197835],[0.         7.81539816],[  7.         422.05354364],[  7.         442.81978835],"[24, 25, 21, 12, 19, 18, 22, 5, 3, 4, 1, 2, 20, 23, 11, 9, 6, 16, 14, 17, 15, 13, 7, 8, 10]","(7.0, 422.05354364183603)"
38,358,[  7.         427.10672849],[0.         3.82204437],[  7.         422.05354364],[  7.         439.47422065],"[24, 25, 21, 12, 19, 18, 22, 5, 3, 4, 1, 2, 20, 23, 11, 9, 6, 16, 14, 17, 15, 13, 7, 8, 10]","(7.0, 422.05354364183603)"
39,336,[  7.         424.78363284],[0.        2.2970009],[  7.         421.09291445],[  7.         427.21729525],"[24, 25, 22, 12, 19, 18, 21, 5, 3, 4, 1, 2, 20, 23, 11, 9, 6, 16, 14, 17, 15, 13, 7, 8, 10]","(7.0, 421.0929144500822)"
40,346,[  7.        422.7895798],[0.         1.43512095],[  7.         421.09291445],[  7.         425.79398421],"[24, 25, 22, 12, 19, 18, 21, 5, 3, 4, 1, 2, 20, 23, 11, 9, 6, 16, 14, 17, 15, 13, 7, 8, 10]","(7.0, 421.0929144500822)"
41,344,[  7.         422.00633491],[0.         0.66477886],[  7.         408.93382603],[  7.         422.05354364],"[24, 25, 21, 17, 19, 18, 22, 5, 3, 4, 1, 2, 20, 23, 11, 9, 6, 16, 14, 12, 15, 13, 7, 8, 10]","(7.0, 408.93382603491335)"
42,336,[  7.         421.92083577],[0.         1.09076882],[  7.         408.93382603],[  7.         422.05354364],"[24, 25, 21, 17, 19, 18, 22, 5, 3, 4, 1, 2, 20, 23, 11, 9, 6, 16, 14, 12, 15, 13, 7, 8, 10]","(7.0, 408.93382603491335)"
43,336,[  7.         421.67293401],[0.         1.86069959],[  7.         408.93382603],[  7.         422.05354364],"[24, 25, 21, 17, 19, 18, 22, 5, 3, 4, 1, 2, 20, 23, 11, 9, 6, 16, 14, 12, 15, 13, 7, 8, 10]","(7.0, 408.93382603491335)"
44,352,[  7.        421.0513631],[0.         2.97383211],[  7.         408.93382603],[  7.         422.05354364],"[24, 25, 21, 17, 19, 18, 22, 5, 3, 4, 1, 2, 20, 23, 11, 9, 6, 16, 14, 12, 15, 13, 7, 8, 10]","(7.0, 408.93382603491335)"
45,346,[  7.         419.95228781],[0.         4.00506443],[  7.         408.93382603],[  7.         422.05354364],"[24, 25, 21, 17, 19, 18, 22, 5, 3, 4, 1, 2, 20, 23, 11, 9, 6, 16, 14, 12, 15, 13, 7, 8, 10]","(7.0, 408.93382603491335)"
46,336,[  7.         417.71580252],[0.         5.19183689],[  7.         407.97319684],[  7.         421.09291445],"[24, 25, 22, 17, 19, 18, 21, 5, 3, 4, 1, 2, 20, 23, 11, 9, 6, 16, 14, 12, 15, 13, 7, 8, 10]","(7.0, 407.97319684315954)"
47,326,[  7.         413.90627718],[0.         5.45720079],[  7.         407.97319684],[  7.         421.09291445],"[24, 25, 22, 17, 19, 18, 21, 5, 3, 4, 1, 2, 20, 23, 11, 9, 6, 16, 14, 12, 15, 13, 7, 8, 10]","(7.0, 407.97319684315954)"
48,320,[  7.         409.30214141],[0.         0.80691468],[  7.         407.60539087],[  7.         410.91726549],"[24, 25, 21, 17, 19, 18, 22, 5, 3, 4, 2, 1, 20, 23, 11, 9, 6, 16, 14, 12, 15, 13, 7, 8, 10]","(7.0, 407.6053908745585)"
49,334,[  7.         408.86190261],[0.         0.26048386],[  7.         407.60539087],[  7.         408.93382603],"[24, 25, 21, 17, 19, 18, 22, 5, 3, 4, 2, 1, 20, 23, 11, 9, 6, 16, 14, 12, 15, 13, 7, 8, 10]","(7.0, 407.6053908745585)"
50,342,[  7.         408.76722613],[0.         0.38535513],[  7.         406.64476168],[  7.         408.93382603],"[24, 25, 22, 17, 19, 18, 21, 5, 3, 4, 2, 1, 20, 23, 11, 9, 6, 16, 14, 12, 15, 13, 7, 8, 10]","(7.0, 406.6447616828046)"
51,344,[  7.         408.56516517],[0.         0.50309575],[  7.         406.64476168],[  7.         408.93382603],"[24, 25, 22, 17, 19, 18, 21, 5, 3, 4, 2, 1, 20, 23, 11, 9, 6, 16, 14, 12, 15, 13, 7, 8, 10]","(7.0, 406.6447616828046)"
52,344,[  7.         408.16832978],[0.         0.45931392],[  7.         406.64476168],[  7.         408.93382603],"[24, 25, 22, 17, 19, 18, 21, 5, 3, 4, 2, 1, 20, 23, 11, 9, 6, 16, 14, 12, 15, 13, 7, 8, 10]","(7.0, 406.6447616828046)"
53,350,[  7.         407.86428294],[0.         0.20238152],[  7.         406.64476168],[  7.         407.97319684],"[24, 25, 22, 17, 19, 18, 21, 5, 3, 4, 2, 1, 20, 23, 11, 9, 6, 16, 14, 12, 15, 13, 7, 8, 10]","(7.0, 406.6447616828046)"
54,326,[  7.         407.74356674],[0.         0.25850147],[  7.         406.64476168],[  7.         407.97319684],"[24, 25, 22, 17, 19, 18, 21, 5, 3, 4, 2, 1, 20, 23, 11, 9, 6, 16, 14, 12, 15, 13, 7, 8, 10]","(7.0, 406.6447616828046)"
55,342,[  7.        407.5405484],[0.         0.24100835],[  7.         406.64476168],[  7.         407.60539087],"[24, 25, 22, 17, 19, 18, 21, 5, 3, 4, 2, 1, 20, 23, 11, 9, 6, 16, 14, 12, 15, 13, 7, 8, 10]","(7.0, 406.6447616828046)"
56,350,[  7.        407.4516902],[0.         0.35217248],[  7.         406.64476168],[  7.         407.60539087],"[24, 25, 22, 17, 19, 18, 21, 5, 3, 4, 2, 1, 20, 23, 11, 9, 6, 16, 14, 12, 15, 13, 7, 8, 10]","(7.0, 406.6447616828046)"
